label_scheme,metric,contrast,cache_budget,sink_size,mean_difference,documents,ci_low,ci_high
coarse_category,delta_ce,content_minus_function,128,0,0.46550009853708274,16,0.28057444502761797,0.6842975426700008
coarse_category,delta_ce,content_minus_function,128,4,0.4853196601419641,16,0.2986454958916772,0.6962460546643199
coarse_category,delta_ce,content_minus_function,128,16,0.4978993533203787,16,0.3197563613911216,0.7018953339706132
coarse_category,delta_ce,content_minus_function,512,0,0.24687506609068566,16,0.08125975717579177,0.44095121636950096
coarse_category,delta_ce,content_minus_function,512,4,0.24636061399463247,16,0.09393715623078473,0.426260559050311
coarse_category,delta_ce,content_minus_function,512,16,0.25501719393289085,16,0.10463633612871102,0.42276035110867227
coarse_category,delta_ce,content_minus_function,2048,0,0.15571619784725063,16,0.051727897628376256,0.2787392567662894
coarse_category,delta_ce,content_minus_function,2048,4,0.14173896862614288,16,0.03928245327172543,0.2714863852190156
coarse_category,delta_ce,content_minus_function,2048,16,0.14274935385301127,16,0.035980499600248135,0.2710145530284005
coarse_category,delta_ce,content_minus_function,8192,0,-0.011456716275463068,16,-0.06626471607762684,0.03378056854414908
coarse_category,delta_ce,content_minus_function,8192,4,-0.019309323533893075,16,-0.0710917635063216,0.028252090764424354
coarse_category,delta_ce,content_minus_function,8192,16,-0.008902488418046504,16,-0.06319497753855333,0.0420134323289381
coarse_category,kl_full_to_compact,content_minus_function,128,0,0.21633660401095414,16,0.12389603328860632,0.3211196502771458
coarse_category,kl_full_to_compact,content_minus_function,128,4,0.2219936378625038,16,0.1297799650496842,0.32738934179448737
coarse_category,kl_full_to_compact,content_minus_function,128,16,0.22842263442919708,16,0.1289607369002349,0.33626048819259013
coarse_category,kl_full_to_compact,content_minus_function,512,0,0.12564619772590505,16,0.052425408329117434,0.21317147861034533
coarse_category,kl_full_to_compact,content_minus_function,512,4,0.12301802777506737,16,0.05221896440564145,0.20480675831975287
coarse_category,kl_full_to_compact,content_minus_function,512,16,0.120230058122932,16,0.04931432078377234,0.20630019745703754
coarse_category,kl_full_to_compact,content_minus_function,2048,0,0.07951393809341488,16,0.0254873510204666,0.1533418281589083
coarse_category,kl_full_to_compact,content_minus_function,2048,4,0.07937852706982282,16,0.026916422608763077,0.16026193646207199
coarse_category,kl_full_to_compact,content_minus_function,2048,16,0.08124583369336277,16,0.025804614698543168,0.16120254401295897
coarse_category,kl_full_to_compact,content_minus_function,8192,0,0.013866012432924589,16,0.004758076977605683,0.02431738474282489
coarse_category,kl_full_to_compact,content_minus_function,8192,4,0.014001578266928438,16,0.004113360508446796,0.025443713889872356
coarse_category,kl_full_to_compact,content_minus_function,8192,16,0.014462709631891994,16,0.00513638627552391,0.02533286921207298
coarse_category,top1_changed,content_minus_function,128,0,0.11960691008966372,16,0.058437957111270804,0.18263413089173966
coarse_category,top1_changed,content_minus_function,128,4,0.1419944159057786,16,0.08679666220064283,0.19875513119589203
coarse_category,top1_changed,content_minus_function,128,16,0.11974882295706066,16,0.06548900821691184,0.17315321125629984
coarse_category,top1_changed,content_minus_function,512,0,0.08329731086762557,16,0.02225247367057295,0.1362500029459674
coarse_category,top1_changed,content_minus_function,512,4,0.062026392269003645,16,0.009621448027457293,0.10727490290233793
coarse_category,top1_changed,content_minus_function,512,16,0.06897322528263466,16,0.01776558035856179,0.11222944593599109
coarse_category,top1_changed,content_minus_function,2048,0,0.0773776085614942,16,0.020416665054284352,0.1282517545119432
coarse_category,top1_changed,content_minus_function,2048,4,0.1017104000507465,16,0.04180145702572349,0.1519419448284081
coarse_category,top1_changed,content_minus_function,2048,16,0.08684913982310696,16,0.036651262616437634,0.1318035974173782
coarse_category,top1_changed,content_minus_function,8192,0,0.05416577822368263,16,0.005798075087232495,0.10772919400509406
coarse_category,top1_changed,content_minus_function,8192,4,0.04709971061074003,16,-0.0013454286571094435,0.09546424083673323
coarse_category,top1_changed,content_minus_function,8192,16,0.06409730584929291,16,0.007055082940482952,0.11899813977551414
is_first_subtoken,delta_ce,first_minus_continuation,128,0,-0.006420184299034348,16,-0.26096295850532947,0.20360036591336808
is_first_subtoken,delta_ce,first_minus_continuation,128,4,-0.02502928406661758,16,-0.3104714856086424,0.21317520696516962
is_first_subtoken,delta_ce,first_minus_continuation,128,16,0.007253713273932781,16,-0.2565524473664595,0.23519593736861194
is_first_subtoken,delta_ce,first_minus_continuation,512,0,-0.04194638264661283,16,-0.2179620270615831,0.10403098677045079
is_first_subtoken,delta_ce,first_minus_continuation,512,4,-0.04063130615398041,16,-0.20557436680927244,0.11383575271561432
is_first_subtoken,delta_ce,first_minus_continuation,512,16,-0.032597176871009534,16,-0.19906186104938667,0.10727086323011469
is_first_subtoken,delta_ce,first_minus_continuation,2048,0,-0.020430381214865852,16,-0.07653888447951394,0.03078792669225766
is_first_subtoken,delta_ce,first_minus_continuation,2048,4,-0.026106807433039416,16,-0.08681740832318414,0.03260026317248676
is_first_subtoken,delta_ce,first_minus_continuation,2048,16,-0.02462092870400092,16,-0.08887748748275724,0.03042340999570908
is_first_subtoken,delta_ce,first_minus_continuation,8192,0,-0.03733021701121413,16,-0.08626760314326894,0.009592065818157598
is_first_subtoken,delta_ce,first_minus_continuation,8192,4,-0.03216163902687674,16,-0.08430856633333703,0.011300910052536002
is_first_subtoken,delta_ce,first_minus_continuation,8192,16,-0.03515091468969044,16,-0.08627546671577822,0.009729443009563807
is_first_subtoken,kl_full_to_compact,first_minus_continuation,128,0,-0.020446371315187166,16,-0.1957867088695273,0.13701118346034893
is_first_subtoken,kl_full_to_compact,first_minus_continuation,128,4,-0.03496040826121449,16,-0.23261624530269454,0.1337141996549092
is_first_subtoken,kl_full_to_compact,first_minus_continuation,128,16,-0.01129464729041104,16,-0.19562568941139255,0.15957718319128245
is_first_subtoken,kl_full_to_compact,first_minus_continuation,512,0,0.022138938180314056,16,-0.0966673018405671,0.10632940236353995
is_first_subtoken,kl_full_to_compact,first_minus_continuation,512,4,0.024047678354963478,16,-0.09414010037179082,0.10690105481648071
is_first_subtoken,kl_full_to_compact,first_minus_continuation,512,16,0.029274867066465527,16,-0.07291547900160218,0.10978067173504436
is_first_subtoken,kl_full_to_compact,first_minus_continuation,2048,0,0.027837007145846505,16,-0.006158288410375201,0.06004698081759722
is_first_subtoken,kl_full_to_compact,first_minus_continuation,2048,4,0.027244869757730862,16,-0.005803688385474148,0.05883621430393496
is_first_subtoken,kl_full_to_compact,first_minus_continuation,2048,16,0.02669175655803841,16,-0.008156788038406275,0.059205605176712875
is_first_subtoken,kl_full_to_compact,first_minus_continuation,8192,0,0.01809222609523221,16,0.005780344538698688,0.03379723878822682
is_first_subtoken,kl_full_to_compact,first_minus_continuation,8192,4,0.017996923916343437,16,0.005044497604846919,0.03459650273290691
is_first_subtoken,kl_full_to_compact,first_minus_continuation,8192,16,0.017220858110776158,16,0.003676259777797559,0.033161135112903355
is_first_subtoken,top1_changed,first_minus_continuation,128,0,0.14056499995147992,16,0.04622918258319997,0.2230654764519209
is_first_subtoken,top1_changed,first_minus_continuation,128,4,0.10621052410364455,16,0.014867906936111761,0.19495281286065563
is_first_subtoken,top1_changed,first_minus_continuation,128,16,0.14480659538755725,16,0.053845683136079014,0.23769098199770003
is_first_subtoken,top1_changed,first_minus_continuation,512,0,0.10819708314754915,16,0.03232291085824653,0.17616484646361572
is_first_subtoken,top1_changed,first_minus_continuation,512,4,0.10206373830631885,16,0.03376805942266485,0.1674408000937659
is_first_subtoken,top1_changed,first_minus_continuation,512,16,0.1123247477287821,16,0.04140821640380106,0.17661145688517382
is_first_subtoken,top1_changed,first_minus_continuation,2048,0,0.10807506742718784,16,0.0568481779273508,0.1590805100228408
is_first_subtoken,top1_changed,first_minus_continuation,2048,4,0.10979355992436887,16,0.055212211733630376,0.1603031591908048
is_first_subtoken,top1_changed,first_minus_continuation,2048,16,0.11341889211986533,16,0.0646004661308749,0.1635486534211817
is_first_subtoken,top1_changed,first_minus_continuation,8192,0,0.06878104555712257,16,0.03462617638636098,0.10159757047644831
is_first_subtoken,top1_changed,first_minus_continuation,8192,4,0.07077527372928064,16,0.038109691540743174,0.10160857982159811
is_first_subtoken,top1_changed,first_minus_continuation,8192,16,0.07660824001236854,16,0.04393056675446832,0.11092914160796566
