corpus,layer,head,gqa_group,region,block_size,top_k,condition,metric,mean,documents,ci_low,ci_high
hotpotqa,0,0,0,local,16,4,semantic,js_similarity,0.9803316501963619,4,0.972147597901138,0.9882199127513674
hotpotqa,0,0,0,local,16,4,semantic,spearman,0.967404847360933,4,0.9594937211763074,0.9774792247503367
hotpotqa,0,0,0,local,16,4,semantic,top_mass_overlap,0.6806692583486438,4,0.6676011933712289,0.6904916744679213
hotpotqa,0,0,0,local,16,4,semantic_plus_supplement,retained_mass,0.6416354778519228,4,0.6328353358955171,0.6511752492647904
hotpotqa,0,0,0,local,16,4,semantic_plus_supplement,retained_ratio,1.0062869423588423,4,1.0040548769867041,1.0083069105853575
hotpotqa,0,0,0,local,16,4,semantic_shared,retained_mass,0.6321601179113223,4,0.6219937371902505,0.64305710596916
hotpotqa,0,0,0,local,16,4,semantic_shared,retained_ratio,0.9908112849461893,4,0.9902877417728876,0.9912494790467599
hotpotqa,0,0,0,local,16,8,all_route,evidence_recall,0.03125,4,0.0,0.09375
hotpotqa,0,0,0,local,16,8,boundary,jaccard,0.8520833333333334,4,0.8277777777777778,0.8993055555555556
hotpotqa,0,0,0,local,16,8,boundary,js_similarity,0.9383686210583857,4,0.9282944742820632,0.9563233359630409
hotpotqa,0,0,0,local,16,8,boundary,spearman,0.9378382931652658,4,0.9278403255293657,0.9558765591858901
hotpotqa,0,0,0,local,16,8,boundary,top_mass_overlap,0.8653029045090079,4,0.8428409984335303,0.8936041127890348
hotpotqa,0,0,0,local,16,8,content_route,evidence_recall,0.03125,4,0.0,0.09375
hotpotqa,0,0,0,local,16,8,content_vs_all,delta_pull,-0.0013483922140843738,4,-0.001890642782760219,-0.0009483190675447008
hotpotqa,0,0,0,local,16,8,content_vs_negation,jaccard,0.7777777777777778,1,0.7777777777777778,0.7777777777777778
hotpotqa,0,0,0,local,16,8,content_vs_negation,js_similarity,0.9279321239467856,1,0.9279321239467856,0.9279321239467856
hotpotqa,0,0,0,local,16,8,content_vs_negation,spearman,0.9978117617804301,1,0.9978117617804301,0.9978117617804301
hotpotqa,0,0,0,local,16,8,content_vs_negation,top_mass_overlap,0.8433455228805542,1,0.8433455228805542,0.8433455228805542
hotpotqa,0,0,0,local,16,8,content_vs_number,jaccard,0.9231481481481483,4,0.9085648148148149,0.9395833333333334
hotpotqa,0,0,0,local,16,8,content_vs_number,js_similarity,0.9786521175546409,4,0.9756743845942867,0.9816298505149951
hotpotqa,0,0,0,local,16,8,content_vs_number,spearman,0.9660416597672182,4,0.9624949104017377,0.9695884091326985
hotpotqa,0,0,0,local,16,8,content_vs_number,top_mass_overlap,0.9155131672198573,4,0.9123846841976047,0.92137720733881
hotpotqa,0,0,0,local,16,8,content_vs_pronoun,jaccard,0.8991161616161617,4,0.882449494949495,0.9208333333333335
hotpotqa,0,0,0,local,16,8,content_vs_pronoun,js_similarity,0.9608284395034143,4,0.9495810471623316,0.972428751575566
hotpotqa,0,0,0,local,16,8,content_vs_pronoun,spearman,0.9503672697006222,4,0.9356778467825629,0.9650566926186817
hotpotqa,0,0,0,local,16,8,content_vs_pronoun,top_mass_overlap,0.8892163662239909,4,0.8748774416744709,0.9035552907735109
hotpotqa,0,0,0,local,16,8,content_vs_punctuation,jaccard,0.9548611111111113,4,0.9391493055555558,0.9687500000000001
hotpotqa,0,0,0,local,16,8,content_vs_punctuation,js_similarity,0.9861001761332555,4,0.9796661681092422,0.9896980751293223
hotpotqa,0,0,0,local,16,8,content_vs_punctuation,spearman,0.973400481313577,4,0.9612795075028128,0.9812068659001367
