layer,head,region,content_minus_function,ci_low,ci_high,documents,ci_excludes_zero,permutation_p_value,fdr_q_value,fdr_significant_0.05
0,0,recent_mass,0.0027612690013699877,-0.017312845362167782,0.022252321122648484,8,False,0.796875,0.9009084791386271,False
0,0,remote_middle_mass,-0.0028145893711483128,-0.021950036146445084,0.01684795950198528,8,False,0.7890625,0.8956925675675675,False
0,0,sink_block_mass,5.331543641069671e-05,-0.00028651588411532163,0.0004765721175624078,8,False,0.84375,0.9264705882352942,False
0,1,recent_mass,-0.012491359842828495,-0.018435921922358097,-0.006365026111058347,8,True,0.015625,0.09051724137931035,False
0,1,remote_middle_mass,0.012491208507566208,0.00645736883819156,0.018495179846853685,8,True,0.015625,0.09051724137931035,False
0,1,sink_block_mass,1.443792401240917e-07,1.0087487663558828e-07,1.9025611618184204e-07,8,True,0.0078125,0.06433823529411764,False
0,2,recent_mass,-0.011870821958592528,-0.06132978262550712,0.03494405341954267,8,False,0.703125,0.8510446685878963,False
0,2,remote_middle_mass,0.011864646252809356,-0.03623424494636882,0.061562607420465446,8,False,0.703125,0.8510446685878963,False
0,2,sink_block_mass,6.1699144448833015e-06,-2.782959739728396e-05,4.201648803169038e-05,8,False,0.734375,0.8676160337552743,False
0,3,recent_mass,0.09894793472365282,0.029262690956831747,0.16781217497799084,8,True,0.0546875,0.18229166666666666,False
0,3,remote_middle_mass,-0.09894765932162726,-0.16695753011327655,-0.027999196348367464,8,True,0.0546875,0.18229166666666666,False
0,3,sink_block_mass,-2.81464849652242e-07,-4.4529595744427883e-07,-1.365252231322857e-07,8,True,0.015625,0.09051724137931035,False
0,4,recent_mass,-0.016202336721992082,-0.053061410188629955,0.016490636779874453,8,False,0.453125,0.6772686832740213,False
0,4,remote_middle_mass,0.01605683167366534,-0.01608912224801018,0.053210997044063665,8,False,0.453125,0.6772686832740213,False
0,4,sink_block_mass,0.00014550465694396144,-4.1412501844806e-05,0.00036410605648223247,8,False,0.2578125,0.46672952586206895,False
0,5,recent_mass,-0.006645864944821611,-0.011762876499929839,-0.00104502007027007,8,True,0.0703125,0.20944148936170212,False
0,5,remote_middle_mass,0.006645820480992877,0.0010089534640248003,0.01172190607156971,8,True,0.0703125,0.20944148936170212,False
0,5,sink_block_mass,4.540320754760239e-08,7.698904639106606e-09,9.733572672650457e-08,8,True,0.0625,0.19444444444444445,False
0,6,recent_mass,-0.0029122750652604834,-0.009683518572782004,0.004282675572518641,8,False,0.453125,0.6772686832740213,False
0,6,remote_middle_mass,0.002912264574507057,-0.004342446583545314,0.009752589476894277,8,False,0.453125,0.6772686832740213,False
0,6,sink_block_mass,7.318450595216647e-09,-4.781227066471627e-08,6.77714224375725e-08,8,False,0.8125,0.9087882822902796,False
0,7,recent_mass,-0.020135074204394032,-0.03863433234091515,-0.006605642096834702,8,True,0.0234375,0.10998603351955308,False
0,7,remote_middle_mass,0.020134537728605635,0.006752187558943554,0.03820112895310943,8,True,0.0234375,0.10998603351955308,False
0,7,sink_block_mass,5.309814981693328e-07,-2.335403282165779e-06,4.545728265798327e-06,8,False,0.90625,0.9587531486146096,False
0,8,recent_mass,-0.019656445645345494,-0.04690619860401092,0.009531758052342632,8,False,0.2265625,0.4364965596330275,False
0,8,remote_middle_mass,0.019651522441324946,-0.009656745407068295,0.04659019906551703,8,False,0.2265625,0.4364965596330275,False
0,8,sink_block_mass,4.936076370364639e-06,-4.800679484594594e-06,1.5416167971749553e-05,8,False,0.4453125,0.6739864864864865,False
0,9,recent_mass,-0.00969459698420417,-0.029056932778932322,0.007640496614942741,8,False,0.40625,0.6402439024390244,False
0,9,remote_middle_mass,0.009623963704365343,-0.00766571439021714,0.02910414637417708,8,False,0.40625,0.6402439024390244,False
0,9,sink_block_mass,7.063719353095298e-05,2.0199908934036402e-05,0.0001321841000677903,8,True,0.03125,0.13125,False
0,10,recent_mass,-0.03917788753716586,-0.06246639602946834,-0.014753688588515182,8,True,0.03125,0.13125,False
0,10,remote_middle_mass,0.03917809678781789,0.015373983385025125,0.06306489127679361,8,True,0.03125,0.13125,False
0,10,sink_block_mass,-2.1048986176596554e-07,-8.436884230157433e-07,3.4369259131122347e-07,8,False,0.5859375,0.7666471962616822,False
0,11,recent_mass,-0.0038768977980205427,-0.02155399806810178,0.0168275512104954,8,False,0.7109375,0.853125,False
0,11,remote_middle_mass,0.003886633162145929,-0.01601600654670161,0.022250732425832954,8,False,0.7109375,0.853125,False
0,11,sink_block_mass,-9.730342784664026e-06,-2.535731498571886e-05,6.037851972914714e-06,8,False,0.28125,0.5005296610169492,False
0,12,recent_mass,-0.013887631772749764,-0.04454099629108925,0.012902089788018423,8,False,0.4375,0.6681818181818182,False
0,12,remote_middle_mass,0.013876445428436163,-0.012713317593144641,0.04515189713283435,8,False,0.4375,0.6681818181818182,False
0,12,sink_block_mass,1.1185858631326633e-05,-6.794860935295109e-06,3.406317555106943e-05,8,False,0.4296875,0.6622706422018348,False
0,13,recent_mass,-0.036459387979056776,-0.0743776636204897,0.0012731068385715416,8,False,0.171875,0.36550632911392406,False
0,13,remote_middle_mass,0.0363882769649059,-0.0010188123417213396,0.07485684429149589,8,False,0.171875,0.36550632911392406,False
0,13,sink_block_mass,7.11210641314306e-05,5.554233551081559e-07,0.0001470693513359907,8,True,0.125,0.29829545454545453,False
0,14,recent_mass,-0.0016197258539617163,-0.011552080641224573,0.007891938423631693,8,False,0.75,0.8725761772853186,False
0,14,remote_middle_mass,0.0016154966957358102,-0.007671526995192898,0.011582814421895076,8,False,0.75,0.8725761772853186,False
0,14,sink_block_mass,4.23226259530044e-06,-0.00015771854436214474,0.00017801613355705032,8,False,0.984375,1.0,False
0,15,recent_mass,-0.02708716839124445,-0.09881155721600295,0.045662603094647564,8,False,0.46875,0.68717277486911,False
0,15,remote_middle_mass,0.027087173849136368,-0.044764835228112684,0.09694010989524232,8,False,0.46875,0.68717277486911,False
0,15,sink_block_mass,5.845192132699883e-10,-6.586665635972391e-11,1.4467545374384048e-09,8,False,0.296875,0.5163043478260869,False
0,16,recent_mass,-0.00020545950183191442,-0.00190249803395319,0.0017470722090255893,8,False,0.8671875,0.938708118556701,False
0,16,remote_middle_mass,0.0002031862858016681,-0.0017298872290073385,0.0019392462726942486,8,False,0.8515625,0.9301853055916776,False
0,16,sink_block_mass,2.2803863404040824e-06,-3.406787700136852e-05,3.965407160223127e-05,8,False,0.90625,0.9587531486146096,False
0,17,recent_mass,-0.009077311780655281,-0.020803789377986787,0.0036563194768339663,8,False,0.1953125,0.39917883211678834,False
0,17,remote_middle_mass,0.00896984260776659,-0.0035776586170533746,0.020220593304711508,8,False,0.1875,0.39081885856079407,False
0,17,sink_block_mass,0.00010747466454407478,-3.368349698099467e-05,0.0002622966058364631,8,False,0.21875,0.4263341067285383,False
0,18,recent_mass,-0.029923564487945864,-0.0540892824232504,-0.007683425895256266,8,True,0.0625,0.19444444444444445,False
0,18,remote_middle_mass,0.029959279847726207,0.008049957135709251,0.05370771250508652,8,True,0.0625,0.19444444444444445,False
0,18,sink_block_mass,-3.571495943004068e-05,-0.00030144861131927217,0.00021529992445608705,8,False,0.8046875,0.9048694779116466,False
0,19,recent_mass,-0.015661030625312336,-0.031450947200894225,-0.00015429495573376152,8,True,0.15625,0.3391472868217054,False
0,19,remote_middle_mass,0.015372330349222318,0.0003669736444428008,0.031321590912262644,8,True,0.15625,0.3391472868217054,False
0,19,sink_block_mass,0.00028870430101523296,0.00017501387830881512,0.00040559439293438003,8,True,0.0078125,0.06433823529411764,False
0,20,recent_mass,-0.00029778444078204513,-0.03807698345563752,0.031075162433981077,8,False,0.9921875,1.0,False
0,20,remote_middle_mass,0.00031248306649329927,-0.0312891705106248,0.039092336399606756,8,False,0.9921875,1.0,False
0,20,sink_block_mass,-1.470200181260143e-05,-0.0002323685548178212,0.00020804473834281763,8,False,0.84375,0.9264705882352942,False
0,21,recent_mass,-0.03853305675408794,-0.05001543749302187,-0.026372154514881854,8,True,0.0078125,0.06433823529411764,False
0,21,remote_middle_mass,0.038532736181100743,0.02630928585537065,0.050060360598672846,8,True,0.0078125,0.06433823529411764,False
0,21,sink_block_mass,3.080533746764486e-07,2.4562198108702224e-07,3.933639670049022e-07,8,True,0.0078125,0.06433823529411764,False
0,22,recent_mass,0.008409237795079294,-0.009961345056470486,0.024855172607315283,8,False,0.40625,0.6402439024390244,False
0,22,remote_middle_mass,-0.008417591060500669,-0.024513028349508637,0.010183291761895,8,False,0.40625,0.6402439024390244,False
0,22,sink_block_mass,8.35591270657137e-06,-6.161642001125341e-06,2.138454026834554e-05,8,False,0.296875,0.5163043478260869,False
0,23,recent_mass,-0.007503887079857011,-0.022828555500368632,0.008536321947795236,8,False,0.4140625,0.647695530726257,False
0,23,remote_middle_mass,0.0075038017302320945,-0.008476125659957458,0.023107686930038448,8,False,0.4140625,0.647695530726257,False
0,23,sink_block_mass,8.875290502171034e-08,1.9430185704187652e-08,1.645441457835959e-07,8,True,0.0546875,0.18229166666666666,False
0,24,recent_mass,-0.0031938490028462913,-0.011952310868902786,0.00440423041408425,8,False,0.546875,0.7433252427184466,False
0,24,remote_middle_mass,0.0031937733233796534,-0.004396767319281587,0.012116749130295154,8,False,0.546875,0.7433252427184466,False
0,24,sink_block_mass,7.575735214259663e-08,-2.3125778843044507e-08,1.6510463530038485e-07,8,False,0.1796875,0.37734375,False
0,25,recent_mass,-0.007649009017668684,-0.015326168168257284,0.0004647678035989422,8,False,0.125,0.29829545454545453,False
0,25,remote_middle_mass,0.007648877200514166,-0.0003989641703381272,0.015080438083000478,8,False,0.125,0.29829545454545453,False
0,25,sink_block_mass,1.2261346796186514e-07,5.2913977329774215e-08,1.9544706999243767e-07,8,True,0.0234375,0.10998603351955308,False
0,26,recent_mass,0.005569172474969242,-0.01346394780759362,0.02438600684210618,8,False,0.6015625,0.7814885496183206,False
0,26,remote_middle_mass,-0.0055692587986560585,-0.024602516689590046,0.013406996886983843,8,False,0.6015625,0.7814885496183206,False
0,26,sink_block_mass,8.186172249104257e-08,8.25973657271047e-10,1.6634720447096175e-07,8,True,0.1171875,0.28952205882352944,False
0,27,recent_mass,-0.002060314794507939,-0.01822883155925119,0.013302980077464345,8,False,0.8359375,0.9264705882352942,False
0,27,remote_middle_mass,0.0020602931283575654,-0.013072665459888784,0.017752748601102555,8,False,0.8359375,0.9264705882352942,False
0,27,sink_block_mass,1.730899670413465e-08,-1.0564618960057261e-07,1.2912034832382186e-07,8,False,0.8046875,0.9048694779116466,False
1,0,recent_mass,0.00020543133344008702,-0.00034444985453926935,0.0008446177593937759,8,False,0.578125,0.7623626373626373,False
1,0,remote_middle_mass,-0.00020541712270853664,-0.0008459613161124452,0.000360412070982447,8,False,0.578125,0.7623626373626373,False
1,0,sink_block_mass,-1.2626699200606143e-08,-2.551113643516392e-08,4.617337289919738e-10,8,False,0.125,0.29829545454545453,False
1,1,recent_mass,-0.0009930986421007417,-0.001595337755807574,-0.00034669298072886667,8,True,0.0390625,0.146484375,False
1,1,remote_middle_mass,-0.0011668836636308105,-0.002859791271023381,0.0006048767910518781,8,False,0.2890625,0.5090408805031447,False
1,1,sink_block_mass,0.002159979786347846,-0.00012778529496204963,0.004263580465289863,8,False,0.125,0.29829545454545453,False
1,2,recent_mass,-1.4298948234070519e-05,-0.00011023716194153987,5.646085648973764e-05,8,False,0.8515625,0.9301853055916776,False
1,2,remote_middle_mass,1.4296724755408198e-05,-5.6689056389026016e-05,0.0001095970003084755,8,False,0.8515625,0.9301853055916776,False
1,2,sink_block_mass,-1.1652243946503765e-15,-7.435395843998054e-14,8.028793612911505e-14,8,False,0.9921875,1.0,False
1,3,recent_mass,0.000704380238176816,0.0001260709742770677,0.0013243464235219715,8,True,0.0625,0.19444444444444445,False
1,3,remote_middle_mass,-0.0007043819136490923,-0.0013309839190883462,-0.0001205010796565271,8,True,0.0625,0.19444444444444445,False
1,3,sink_block_mass,9.130968575804898e-10,-1.2145174381504193e-08,1.3824334001348449e-08,8,False,0.9140625,0.959765625,False
1,4,recent_mass,0.001230776654094573,0.00010402941895413797,0.002704764234596105,8,True,0.1171875,0.28952205882352944,False
1,4,remote_middle_mass,-0.0012307630400152608,-0.0026686144007272285,-0.00010381197087847489,8,True,0.1171875,0.28952205882352944,False
1,4,sink_block_mass,-1.5518945997194744e-08,-1.499108252926923e-07,7.909927288357345e-08,8,False,0.921875,0.9667602996254682,False
1,5,recent_mass,0.00010675784877921257,5.115824263129953e-05,0.00016060610519329766,8,True,0.015625,0.09051724137931035,False
1,5,remote_middle_mass,-0.0001067812910097241,-0.00016000404859204352,-5.27821215286032e-05,8,True,0.015625,0.09051724137931035,False
1,5,sink_block_mass,1.4886805222013576e-12,-4.20634528582247e-12,7.536353236822761e-12,8,False,0.65625,0.8130530973451328,False
1,6,recent_mass,0.0022361612533425834,-0.005379585922957566,0.00934461115270022,8,False,0.5859375,0.7666471962616822,False
1,6,remote_middle_mass,-0.0022361590614346956,-0.009529526279298381,0.005231856790589264,8,False,0.5859375,0.7666471962616822,False
1,6,sink_block_mass,-9.376788495792091e-10,-5.175390853051272e-09,2.2778585091335717e-09,8,False,0.78125,0.8928571428571429,False
1,7,recent_mass,-0.00840467246189841,-0.02757818174853012,0.011082459756826282,8,False,0.4296875,0.6622706422018348,False
1,7,remote_middle_mass,0.008675526976463975,-0.010712307417883702,0.02755182664315428,8,False,0.4140625,0.647695530726257,False
1,7,sink_block_mass,-0.00027084965481881677,-0.0005939634184465311,3.9052873598361895e-05,8,False,0.1796875,0.37734375,False
1,8,recent_mass,0.0017329310730917896,-0.015668380591672786,0.017933634142047898,8,False,0.84375,0.9264705882352942,False
1,8,remote_middle_mass,-0.001710185072367372,-0.017732763116320667,0.015759798520091607,8,False,0.84375,0.9264705882352942,False
1,8,sink_block_mass,-2.2751592783280496e-05,-7.916246429354194e-05,4.074658174584379e-05,8,False,0.5078125,0.7133152173913043,False
1,9,recent_mass,-0.06224999326055003,-0.09845884547353802,-0.02717419462894343,8,True,0.03125,0.13125,False
1,9,remote_middle_mass,0.06164685902186487,0.026772729287170293,0.09816409537118712,8,True,0.0234375,0.10998603351955308,False
