cache_budget,changed_tokens,cosine_lt_0.5,cosine_lt_0.7,cosine_lt_0.8,delta_ce_gt_0.1,delta_ce_gt_0.5
128,111,0.8378378378378378,0.8558558558558559,0.8558558558558559,0.5945945945945946,0.40540540540540543
512,83,0.7831325301204819,0.7951807228915663,0.7951807228915663,0.5421686746987951,0.3614457831325301
2048,48,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.6041666666666666,0.20833333333333334
8192,31,0.5161290322580645,0.5483870967741935,0.5483870967741935,0.45161290322580644,0.0967741935483871
