predictor,target,overhead,target_auc,target_average_precision,route_fraction,context_need_recall,top1_change_recall,residual_delta_ce,residual_top1_change_rate,estimated_24k_latency_ms,estimated_24k_speedup,context_need_auc
embedding_type_lut,next_token_is_content,vocab_lut_before_forward,0.7205755029284442,0.6398324154382048,0.25,0.2755905511811024,0.2932330827067669,0.037359213241391576,0.091796875,15.854437179661291,1.067703360057534,0.5377492586154003
embedding_type_lut,next_token_is_content,vocab_lut_before_forward,0.7205755029284442,0.6398324154382048,0.400390625,0.43700787401574803,0.43609022556390975,0.024895639396213642,0.0732421875,16.069116913438123,1.0534390868977506,0.5377492586154003
embedding_type_lut,next_token_is_content,vocab_lut_before_forward,0.7205755029284442,0.6398324154382048,0.5,0.562992125984252,0.518796992481203,0.018093979651994108,0.0625,16.21223673595601,1.0441394438191471,0.5377492586154003
embedding_type_lut,next_token_is_content,vocab_lut_before_forward,0.7205755029284442,0.6398324154382048,0.599609375,0.6496062992125984,0.6390977443609023,0.010119334921628198,0.046875,16.3553565584739,1.0350025563811354,0.5377492586154003
recent_confidence_verifier,recent_top1_differs_from_full,requires_recent_forward_then_full_replay,0.8330843944879032,0.4045707948541644,0.25,0.3425196850393701,0.6541353383458647,0.04357584184045793,0.044921875,19.728596585502935,0.8580354803840661,0.6812404131301768
recent_confidence_verifier,recent_top1_differs_from_full,requires_recent_forward_then_full_replay,0.8330843944879032,0.4045707948541644,0.400390625,0.5551181102362205,0.8721804511278195,0.020334019756511612,0.0166015625,22.26777196278475,0.7601944135603814,0.6812404131301768
recent_confidence_verifier,recent_top1_differs_from_full,requires_recent_forward_then_full_replay,0.8330843944879032,0.4045707948541644,0.5,0.7125984251968503,0.9323308270676691,0.013931904564480124,0.0087890625,23.960555547639295,0.706487619408026,0.6812404131301768
recent_confidence_verifier,recent_top1_differs_from_full,requires_recent_forward_then_full_replay,0.8330843944879032,0.4045707948541644,0.599609375,0.8503937007874016,0.9548872180451128,0.010700136504703028,0.005859375,25.65333913249384,0.6598687118708764,0.6812404131301768
