contrast,context_length,cache_budget,remote_count,metric,left_mean,right_mean,mean_difference,ci_low,ci_high,documents,targets
prefix_minus_recent,16384,128,1,delta_ce,0.27451664955881316,1.9258868738298918,-1.6513702242710786,-2.116333504181432,-1.2723154184993561,8,512
prefix_minus_recent,16384,128,1,kl_full_to_compact,0.3018866167998704,2.0353019401334365,-1.733415323333566,-2.2097276832111064,-1.3795371759396744,8,512
prefix_minus_recent,16384,128,1,top1_changed,0.216796875,0.615234375,-0.3984375,-0.478564453125,-0.326171875,8,512
prefix_minus_recent,16384,512,1,delta_ce,0.07726373386743335,0.8573416064770032,-0.7800778726095698,-1.2490755519695274,-0.43741866253558087,8,512
prefix_minus_recent,16384,512,1,kl_full_to_compact,0.12925908275211467,1.015554659549604,-0.8862955767974894,-1.3568343777231469,-0.5431082334681305,8,512
prefix_minus_recent,16384,512,1,top1_changed,0.162109375,0.412109375,-0.25,-0.33203125,-0.181640625,8,512
prefix_minus_recent,16384,2048,1,delta_ce,0.027009481837011684,0.4740839061731714,-0.44707442433615974,-0.7176175850046421,-0.2641521127243113,8,512
prefix_minus_recent,16384,2048,1,kl_full_to_compact,0.0578887012036296,0.5445149778356511,-0.48662627663202146,-0.7621077167156702,-0.29687838578062725,8,512
prefix_minus_recent,16384,2048,1,top1_changed,0.09375,0.296875,-0.203125,-0.27734375,-0.14453125,8,512
prefix_minus_recent,16384,8192,1,delta_ce,0.0035251409441912074,0.3333231515427819,-0.3297980105985907,-0.585302067719135,-0.15482484165411042,8,512
prefix_minus_recent,16384,8192,1,kl_full_to_compact,0.018121409464045363,0.40369425552735994,-0.38557284606331454,-0.6262606759880904,-0.2116539902566549,8,512
prefix_minus_recent,16384,8192,1,top1_changed,0.060546875,0.236328125,-0.17578125,-0.244140625,-0.1171875,8,512
prefix_minus_recent,24576,128,1,delta_ce,0.2037298084218815,2.1047102068961863,-1.9009803984743048,-2.1855128215460757,-1.6080309582154848,8,512
prefix_minus_recent,24576,128,1,kl_full_to_compact,0.24806603574768182,2.2895473985289527,-2.041481362781271,-2.2816262044317592,-1.7533426253879552,8,512
prefix_minus_recent,24576,128,1,top1_changed,0.19140625,0.6171875,-0.42578125,-0.462890625,-0.388671875,8,512
