metric,sparse_mean,comparator,comparator_mean,sparse_minus_comparator,ci_low,ci_high,documents,targets,sparse_attended_tokens
delta_ce,0.02532881126901909,static_recent_2048,0.061387600778936235,-0.036058789509917144,-0.0936000782813318,-0.0020045836131451175,16,1024,6144
kl_full_to_compact,0.0424976737302685,static_recent_2048,0.09499804308656778,-0.05250036935629929,-0.10619221925287374,-0.021492686773162767,16,1024,6144
top1_changed,0.1015625,static_recent_2048,0.1298828125,-0.0283203125,-0.0498046875,-0.011694335937500133,16,1024,6144
delta_ce,0.02532881126901909,static_recent_4096,0.017613972366253616,0.007714838902765475,-0.012091200547719139,0.032758828984993334,16,1024,6144
kl_full_to_compact,0.0424976737302685,static_recent_4096,0.04372595047944322,-0.0012282767491747226,-0.01972100015568029,0.02659835756598852,16,1024,6144
top1_changed,0.1015625,static_recent_4096,0.1103515625,-0.0087890625,-0.025390625,0.0068359375,16,1024,6144
delta_ce,0.02532881126901909,static_recent_8192,0.008393790365653908,0.016935020903365183,0.0007390803765655097,0.043233340031465686,16,1024,6144
kl_full_to_compact,0.0424976737302685,static_recent_8192,0.024166222748881985,0.018331450981386513,0.004689152078101011,0.042965224935763956,16,1024,6144
top1_changed,0.1015625,static_recent_8192,0.0830078125,0.0185546875,0.00390625,0.0341796875,16,1024,6144
