coarse_category,fine_category,layer,block_index,key_start,key_end,queries,documents,attention_mass_mean,attention_mass_median,concentration_mean
content,adjective,0,0,0,128,32,7,0.0004708011547336355,0.0004328210779931396,0.06014596141176298
content,adjective,0,1,128,256,32,7,0.0005228588015597779,0.000486136443214491,0.06679684238042682
content,adjective,0,2,256,384,32,7,0.00074122803107457,0.0007297977281268686,0.09469397168140858
content,adjective,0,3,384,512,32,7,0.0011950280450037098,0.0011413521133363247,0.15266356733627617
content,adjective,0,4,512,640,32,7,0.0007881551509854035,0.0007559705409221351,0.10068838205188513
content,adjective,0,5,640,768,32,7,0.0012988852231501369,0.0012125612702220678,0.165914615849033
content,adjective,0,6,768,896,32,7,0.00143497959470551,0.0013590547605417669,0.18333309120498598
content,adjective,0,7,896,1024,32,7,0.001195597482364974,0.001162680855486542,0.15272964350879192
content,adjective,0,8,1024,1152,32,7,0.0017485890184616437,0.0016955886967480183,0.223378773778677
content,adjective,0,9,1152,1280,32,7,0.0011915649483853485,0.0011821726220659912,0.15224035340361297
content,adjective,0,10,1280,1408,32,7,0.0008715525809748215,0.0008703344210516661,0.11134886438958347
content,adjective,0,11,1408,1536,32,7,0.000747723411222978,0.0007294432143680751,0.09552246949169785
content,adjective,0,12,1536,1664,32,7,0.0007094686261552852,0.0006942153268028051,0.09063323633745313
content,adjective,0,13,1664,1792,32,7,0.0011180497695022495,0.0010672869393602014,0.1428286440204829
content,adjective,0,14,1792,1920,32,7,0.0012067760108038783,0.0012028045603074133,0.1541749187745154
content,adjective,0,15,1920,2048,32,7,0.0009415949989488581,0.0009009363129734993,0.12030374759342521
content,adjective,0,16,2048,2176,32,7,0.0006019049660608289,0.0006140424229670316,0.07690002757590264
content,adjective,0,17,2176,2304,32,7,0.0007331355009227991,0.0006907645729370415,0.09366056532599032
content,adjective,0,18,2304,2432,32,7,0.0007918934352346696,0.0007793858821969479,0.10116800991818309
content,adjective,0,19,2432,2560,32,7,0.0009718174660520162,0.000986000377452001,0.12414830713532865
content,adjective,0,20,2560,2688,32,7,0.001167507927675615,0.0011574810487218201,0.14915744587779045
content,adjective,0,21,2688,2816,32,7,0.0009531337764201453,0.0008893097983673215,0.12177146296016872
content,adjective,0,22,2816,2944,32,7,0.0009468609478062717,0.0009291707538068295,0.12095899553969502
content,adjective,0,23,2944,3072,32,7,0.0006173101519379998,0.0005639476294163615,0.07886286929715425
content,adjective,0,24,3072,3200,32,7,0.0007056036774883978,0.0006818450056016445,0.09013761323876679
content,adjective,0,25,3200,3328,32,7,0.0007182694926086697,0.0006934793782420456,0.09176100301556289
content,adjective,0,26,3328,3456,32,7,0.0006401174896382145,0.0006048050709068775,0.08177728089503944
content,adjective,0,27,3456,3584,32,7,0.000693375319315237,0.0006640883511863649,0.08858143980614841
content,adjective,0,28,3584,3712,32,7,0.0007136737376640667,0.000707960658473894,0.09117167792282999
content,adjective,0,29,3712,3840,32,7,0.0007005102415860165,0.0006623800727538764,0.0894911929499358
content,adjective,0,30,3840,3968,32,7,0.0007469606589438627,0.0007243911968544126,0.09541908092796803
content,adjective,0,31,3968,4096,32,7,0.0015708845894550905,0.001577535760588944,0.20065971184521914
content,adjective,0,32,4096,4224,32,7,0.0016843738667375874,0.0016732779913581908,0.2152083907276392
content,adjective,0,33,4224,4352,32,7,0.0007383791116808425,0.0007366148347500712,0.09433518932200968
content,adjective,0,34,4352,4480,32,7,0.0010405042212369153,0.0010050027631223202,0.13291420019231737
content,adjective,0,35,4480,4608,32,7,0.0015441707928403048,0.0015045361360535026,0.1972431477624923
content,adjective,0,36,4608,4736,32,7,0.0014778640288568567,0.001500231446698308,0.18882276490330696
content,adjective,0,37,4736,4864,32,7,0.0009515415422356455,0.0009108098165597767,0.1215602564625442
content,adjective,0,38,4864,4992,32,7,0.001228548235303606,0.0011500950786285102,0.15692804311402142
content,adjective,0,39,4992,5120,32,7,0.0022018418931111228,0.002173358341678977,0.2812736788764596
content,adjective,0,40,5120,5248,32,7,0.0016231444205914158,0.0015627118409611285,0.20738742779940367
content,adjective,0,41,5248,5376,32,7,0.0014707589343743166,0.0013494305894710124,0.18787796376273036
content,adjective,0,42,5376,5504,32,7,0.001572754539665766,0.0015103857149370015,0.20091642159968615
