metric,difference_at_128_minus_difference_at_8192,ci_low,ci_high,documents
delta_ce,0.24222585698169025,0.023909361291939185,0.48993110564082654,8
need,0.005751320493375029,-0.12658097509368565,0.15813988243510554,8
top1_changed,0.09041056498635155,0.03085510150722374,0.15005725891296434,8
