coarse_category,fine_category,layer,tokens,documents,attention_mass_mean,attention_mass_median,concentration_mean,contribution_norm_ratio_mean
content,adjective,0,32,7,1.5016280968893625e-05,1.2284931017347844e-05,0.0613793705124408,4.1135901881261816e-05
content,adjective,1,32,7,0.0002434794619148306,0.00020624133321689442,0.9951198026537895,0.0006229151322258986
content,adjective,2,32,7,0.0011964869427174563,0.001034352055285126,4.891457170248032,0.003580318392778281
content,adjective,4,32,7,0.5724182557314634,0.574305385351181,2340.077995300293,0.6212590122595429
content,adjective,8,32,7,0.4453814337030053,0.4464767128229141,1820.7857284545898,0.4538047770038247
content,adjective,12,32,7,0.2670341678895056,0.2696242332458496,1091.673999786377,0.2646118141710758
content,adjective,16,32,7,0.17697026440873742,0.16931091994047165,723.4719944000244,0.15084030316211283
content,adjective,20,32,7,0.21650108974426985,0.20475098490715027,885.0793914794922,0.1605594449210912
content,adjective,24,32,7,0.4271107818931341,0.4270288348197937,1745.9926071166992,0.36275790305808187
content,adjective,27,32,7,0.12317982706008479,0.1023050993680954,503.4805760383606,0.07030570693314075
content,adverb,0,24,8,1.5803661843468337e-05,1.1920523320441134e-05,0.06460608961060643,4.574452183684722e-05
content,adverb,1,24,8,0.0002869465085192739,0.00023881750530563295,1.1728432849049568,0.0007900662167230621
content,adverb,2,24,8,0.0015638352609433543,0.0013430154067464173,6.393211414416631,0.004714273153998268
content,adverb,4,24,8,0.583180908113718,0.5702684223651886,2384.1336212158203,0.6012061734994253
content,adverb,8,24,8,0.4356405834356944,0.429313600063324,1780.9958241780598,0.42013511434197426
content,adverb,12,24,8,0.28379687418540317,0.2805367410182953,1160.146031697591,0.292039447153608
content,adverb,16,24,8,0.21825998416170478,0.170808345079422,892.3296718597412,0.19934334714586535
content,adverb,20,24,8,0.28570702858269215,0.24188972264528275,1168.064552307129,0.2451086489794155
content,adverb,24,24,8,0.4964573048055172,0.4743848145008087,2029.6318969726562,0.4406844613452752
content,adverb,27,24,8,0.17788129292118052,0.1253582388162613,727.2544355392456,0.12454803004705657
content,common_noun,0,86,8,1.5538448023171228e-05,1.286886072193738e-05,0.06349155326308899,4.414897444422782e-05
content,common_noun,1,86,8,0.00027212112865188743,0.00024655426386743784,1.1119114652622577,0.000751777820094207
content,common_noun,2,86,8,0.0012673890356212681,0.0010314806713722646,5.178707583006038,0.0035757365938395174
content,common_noun,4,86,8,0.6069610056489013,0.5971469283103943,2480.388397926508,0.673272835307343
content,common_noun,8,86,8,0.4563799992550251,0.44881394505500793,1865.084031215934,0.4702427454812582
content,common_noun,12,86,8,0.2863810875907887,0.2811204493045807,1170.352622808412,0.2968614748570808
content,common_noun,16,86,8,0.20107171918417133,0.17892508953809738,821.742484868959,0.17907061969298263
content,common_noun,20,86,8,0.2634798329063626,0.23735004663467407,1076.779403331668,0.213726946390992
content,common_noun,24,86,8,0.45967724122280296,0.43852759897708893,1878.5343372433686,0.3925944890740306
content,common_noun,27,86,8,0.19577072482816008,0.12902691215276718,800.0825398467308,0.14234041227677532
content,number,0,19,4,3.5372574960714896e-05,1.8249749700771645e-05,0.14464621990919113,0.00010083691038169873
content,number,1,19,4,0.0012135415201651324,0.0008843085379339755,4.962814240079177,0.0031194570290512943
content,number,2,19,4,0.007281775370325991,0.004589216783642769,29.77904302822916,0.02614793418845358
content,number,4,19,4,0.6861909847510489,0.761825680732727,2805.673712479441,0.7146195549713937
content,number,8,19,4,0.4600455164909363,0.45070183277130127,1881.105867084704,0.48015208699201284
content,number,12,19,4,0.31286111395610006,0.30934247374534607,1279.269595497533,0.32492144719550486
content,number,16,19,4,0.24130924595029732,0.2504064738750458,986.6427628366571,0.20358402634921827
content,number,20,19,4,0.33880654761665746,0.3332148492336273,1385.4350714432567,0.31002462263170044
content,number,24,19,4,0.5518695131728524,0.5635780692100525,2256.5249151932567,0.49677023526869324
content,number,27,19,4,0.2322838457399293,0.2379107028245926,949.816615456029,0.14030444533809236
content,proper_noun,0,21,7,1.832933832615492e-05,1.4198389180819504e-05,0.07500929225768362,5.2632125949631225e-05
content,proper_noun,1,21,7,0.0003887632213133786,0.0002606644993647933,1.5907679540770394,0.0009363122558819928
content,proper_noun,2,21,7,0.0021920719411268478,0.0013522624503821135,8.96954990568615,0.007548880114752267
content,proper_noun,4,21,7,0.5894248741013663,0.5605657696723938,2412.006853376116,0.6273329116049267
content,proper_noun,8,21,7,0.45283806324005127,0.43985581398010254,1853.1162167503721,0.48631444644360317
content,proper_noun,12,21,7,0.2637750634125301,0.2431846261024475,1079.427247546968,0.2701852410322144
content,proper_noun,16,21,7,0.19930766682539666,0.14655666053295135,815.5494392031715,0.1769407880270765
content,proper_noun,20,21,7,0.26993162149474736,0.2525824010372162,1104.6011294410341,0.22791699408775284
content,proper_noun,24,21,7,0.5073255243755522,0.512255847454071,2076.071027483259,0.4562563583964393
content,proper_noun,27,21,7,0.24105546410594667,0.24995999038219452,986.4032570975168,0.1935741695176278
content,verb,0,48,8,1.4555358044769188e-05,1.1896780506504001e-05,0.05950441754733523,4.27274810211505e-05
content,verb,1,48,8,0.00030761920743316296,0.0002587596682133153,1.2576545290648937,0.0008016477671238439
content,verb,2,48,8,0.0016046676670763798,0.0013818834559060633,6.561032474040985,0.004699672913072088
content,verb,4,48,8,0.5968482146660486,0.5606355965137482,2440.2211837768555,0.6170856170356274
content,verb,8,48,8,0.456473795697093,0.44052088260650635,1866.3418197631836,0.4522267409289877
content,verb,12,48,8,0.27482032403349876,0.2477358877658844,1123.60773785909,0.27213479749237496
content,verb,16,48,8,0.2166886223324885,0.17073588073253632,885.9535954793295,0.1914836042560637
content,verb,20,48,8,0.2886560071880619,0.24500594288110733,1180.2252292633057,0.2467923299409449
content,verb,24,48,8,0.5084815348188082,0.4785247892141342,2078.9821141560874,0.4604159289350112
content,verb,27,48,8,0.2228907794924453,0.1557350531220436,911.4772936503092,0.1677377649466507
function,adposition,0,46,8,1.5035267492551256e-05,1.2893282473669387e-05,0.061435250646394234,4.013396111353675e-05
function,adposition,1,46,8,0.00022404083448118004,0.0001939381327247247,0.915616384666899,0.0006168011022964492
function,adposition,2,46,8,0.001115574749470081,0.000899947655852884,4.5596651253492935,0.0030541092552163677
function,adposition,4,46,8,0.5770388627829759,0.5560130178928375,2358.3207822053328,0.625481216803841
function,adposition,8,46,8,0.43209071716536646,0.42545710504055023,1765.9543961234715,0.42008777124726254
function,adposition,12,46,8,0.2845445761214132,0.2828995883464813,1162.9335035241168,0.2830080250683038
function,adposition,16,46,8,0.19406350313321405,0.16932065039873123,793.1833025061566,0.17284282248305238
function,adposition,20,46,8,0.22429033028690712,0.20054946839809418,916.7606493079144,0.1718512354823558
function,adposition,24,46,8,0.4521397766859635,0.4429561197757721,1847.87914508322,0.3905243462194567
function,adposition,27,46,8,0.11213739564561326,0.08417527377605438,458.32090775862986,0.059872382077509945
function,auxiliary,0,25,7,1.956158535904251e-05,1.235279250977328e-05,0.0799153233319521,5.482263608428184e-05
function,auxiliary,1,25,7,0.0002813689201138914,0.00023415728355757892,1.1496066808700562,0.000750183982308954
function,auxiliary,2,25,7,0.001765757636167109,0.0013215052895247936,7.214004364013672,0.005819455878809094
function,auxiliary,4,25,7,0.5937961626052857,0.5792974829673767,2426.4239697265625,0.626565306186676
function,auxiliary,8,25,7,0.43426216959953307,0.4033206105232239,1774.523818359375,0.4229459607601166
function,auxiliary,12,25,7,0.2582484978437424,0.24774447083473206,1055.3134448242188,0.2497895210981369
function,auxiliary,16,25,7,0.1892280560731888,0.15330509841442108,773.2212634277344,0.15816215798258781
function,auxiliary,20,25,7,0.2508129394054413,0.1844652146100998,1024.8581677246093,0.19619687110185624
function,auxiliary,24,25,7,0.47465023159980774,0.4498310983181,1939.5271728515625,0.4098674237728119
function,auxiliary,27,25,7,0.14653538309037686,0.11931727826595306,598.7906829833985,0.07797057803720236
function,coordinating_conjunction,0,16,7,1.8736116203399433e-05,1.6721265637897886e-05,0.07660236931405962,5.629014049191028e-05
function,coordinating_conjunction,1,16,7,0.000381512576041132,0.0002589879441075027,1.5602276884019375,0.0011069641604990466
function,coordinating_conjunction,2,16,7,0.002578759449534118,0.001536566182039678,10.545672982931137,0.007869388195103966
function,coordinating_conjunction,4,16,7,0.5900435745716095,0.5579977631568909,2412.741943359375,0.5998127851635218
function,coordinating_conjunction,8,16,7,0.43413737043738365,0.428754061460495,1775.339859008789,0.40037408657372
function,coordinating_conjunction,12,16,7,0.2733178944326937,0.27789267897605896,1117.7075271606445,0.2623791373334825
function,coordinating_conjunction,16,16,7,0.1860999120399356,0.15174101293087006,761.0311908721924,0.1563723145518452
function,coordinating_conjunction,20,16,7,0.22163068363443017,0.22108792513608932,906.3396339416504,0.16327792615629733
function,coordinating_conjunction,24,16,7,0.47321289870887995,0.42936278879642487,1935.1928329467773,0.4094533156603575
function,coordinating_conjunction,27,16,7,0.12101555860135704,0.0971670113503933,494.89237546920776,0.06364834785927087
function,determiner,0,34,8,1.5043544435149456e-05,1.2719843198283343e-05,0.061471360790378904,4.018349666105625e-05
function,determiner,1,34,8,0.00024112968608011107,0.0002170092484448105,0.9853978139512679,0.0006858757525846801
function,determiner,2,34,8,0.0014201665488893494,0.0012269963626749814,5.804317653179169,0.004307350898777847
function,determiner,4,34,8,0.559366894995465,0.5505955517292023,2285.982691147748,0.573973066666547
function,determiner,8,34,8,0.43258676195845885,0.43754714727401733,1767.9275333180146,0.42614974169170156
function,determiner,12,34,8,0.2628784574130002,0.2584073096513748,1074.3021312040441,0.25645916273488717
function,determiner,16,34,8,0.16742714034283862,0.1455535590648651,684.2410318711225,0.14125862295794137
function,determiner,20,34,8,0.1823009142980856,0.1638871133327484,745.0944070255055,0.12689545290435061
function,determiner,24,34,8,0.4035243032609715,0.39542146027088165,1649.1410342945771,0.34006920588367123
function,determiner,27,34,8,0.07992826739106984,0.05753175914287567,326.711768430822,0.04326855043387588
function,particle,0,3,3,1.2495338069129502e-05,1.3395138012128882e-05,0.05107736090819041,4.759412695420906e-05
function,particle,1,3,3,0.00026042636212271947,0.00027379614766687155,1.0647061864535015,0.0007178301457315683
function,particle,2,3,3,0.001325957477092743,0.0009625263046473265,5.420402447382609,0.003770992470284303
function,particle,4,3,3,0.621766726175944,0.5349330902099609,2542.0719401041665,0.6300526857376099
function,particle,8,3,3,0.5180405378341675,0.48411330580711365,2118.6309407552085,0.5714404086271921
function,particle,12,3,3,0.3263773222764333,0.3065381646156311,1334.7776285807292,0.340557058652242
function,particle,16,3,3,0.29692380130290985,0.358036071062088,1214.226094563802,0.28535615901152295
function,particle,20,3,3,0.3955676158269246,0.4278143048286438,1617.5951741536458,0.34481703241666156
function,particle,24,3,3,0.5403331319491068,0.5405822396278381,2209.4061686197915,0.4924069444338481
function,particle,27,3,3,0.1547951934238275,0.09243310987949371,633.4281819661459,0.10444689976672332
function,subordinating_conjunction,0,7,5,1.6114105424743945e-05,1.6846866856212728e-05,0.06591125524469785,4.449162536600072e-05
function,subordinating_conjunction,1,7,5,0.0002573129864426197,0.00020934073836542666,1.052574919802802,0.0007144431209391249
function,subordinating_conjunction,2,7,5,0.0011013805467103208,0.0009306133724749088,4.504723685128348,0.003434851349863623
function,subordinating_conjunction,4,7,5,0.5994280321257455,0.5516380071640015,2452.1982770647323,0.6617461017199925
function,subordinating_conjunction,8,7,5,0.4524778894015721,0.4041005074977875,1851.115269252232,0.43307882121631075
function,subordinating_conjunction,12,7,5,0.30302332767418455,0.3267793655395508,1239.66987827846,0.3095795810222626
function,subordinating_conjunction,16,7,5,0.23515066185167857,0.17834870517253876,962.0781860351562,0.21597870119980403
function,subordinating_conjunction,20,7,5,0.2802557072469166,0.1861538290977478,1146.6258457728795,0.22926925335611617
function,subordinating_conjunction,24,7,5,0.45934424655778067,0.41775187849998474,1879.1475132533483,0.3892334018434797
function,subordinating_conjunction,27,7,5,0.15428394132426806,0.09711584448814392,631.353779384068,0.09988067458782877
other,other,0,40,8,1.8082171482092236e-05,1.597121445229277e-05,0.07390705859288574,4.672173140534142e-05
other,other,1,40,8,0.00028673415472439955,0.0002263772694277577,1.172179149836302,0.000764453764713835
other,other,2,40,8,0.0015795693238032983,0.0012272358871996403,6.457890731096268,0.004370785850915127
other,other,4,40,8,0.578971192985773,0.5462738871574402,2366.7712280273436,0.6029891334474087
other,other,8,40,8,0.43480108603835105,0.42373764514923096,1777.4668731689453,0.4201624386012554
other,other,12,40,8,0.26703559812158345,0.2660900503396988,1091.6731201171874,0.26950500849634407
other,other,16,40,8,0.20906790317967533,0.17961622029542923,854.7730903625488,0.18724993886426092
other,other,20,40,8,0.29626542776823045,0.27853691577911377,1211.2171272277833,0.2555152416229248
other,other,24,40,8,0.4815128117799759,0.4689372032880783,1968.4547424316406,0.44497812204062936
other,other,27,40,8,0.16933041205629706,0.16669737547636032,692.1967985153199,0.09600496196653693
special,negation,0,2,2,8.992454013423412e-06,8.992454013423412e-06,0.03677195869386196,2.675996074685827e-05
special,negation,1,2,2,0.00033134949626401067,0.00033134949626401067,1.3537748157978058,0.0009754058410180733
special,negation,2,2,2,0.0018623119103722274,0.0018623119103722274,7.610070466995239,0.004873509518802166
special,negation,4,2,2,0.6407598108053207,0.6407598108053207,2618.6444702148438,0.6415809988975525
special,negation,8,2,2,0.41883665323257446,0.41883665323257446,1711.9456176757812,0.37749849259853363
special,negation,12,2,2,0.2893507331609726,0.2893507331609726,1182.657958984375,0.2603878080844879
special,negation,16,2,2,0.23931020498275757,0.23931020498275757,977.9776611328125,0.19821978360414505
special,negation,20,2,2,0.24988189712166786,0.24988189712166786,1020.8818359375,0.1992527786642313
