mechanism,availability,target,feature_dimensions,auc,average_precision,route_fraction,recall,precision,residual_delta_ce,residual_top1_change
embedding_linear,pre_forward_vocab_lut_capable,delta_ce_gt_0.1,3584,0.47214672565318305,0.2448056675324907,0.25,0.23308270676691728,0.2421875,0.009264988702772037,0.103515625
embedding_linear,pre_forward_vocab_lut_capable,delta_ce_gt_0.1,3584,0.47214672565318305,0.2448056675324907,0.400390625,0.3533834586466165,0.22926829268292684,0.012641634638119292,0.080078125
embedding_linear,pre_forward_vocab_lut_capable,delta_ce_gt_0.1,3584,0.47214672565318305,0.2448056675324907,0.5,0.48120300751879697,0.25,0.008577500369103763,0.0703125
embedding_linear,pre_forward_vocab_lut_capable,top1_changed,3584,0.4902954425013249,0.14309179308014325,0.25,0.20588235294117646,0.109375,0.010361509898200616,0.10546875
embedding_linear,pre_forward_vocab_lut_capable,top1_changed,3584,0.4902954425013249,0.14309179308014325,0.400390625,0.38235294117647056,0.12682926829268293,0.013470258933861778,0.08203125
embedding_linear,pre_forward_vocab_lut_capable,top1_changed,3584,0.4902954425013249,0.14309179308014325,0.5,0.4411764705882353,0.1171875,0.014641208605792766,0.07421875
early_layer1_linear,after_one_recent_attention_layer,delta_ce_gt_0.1,3584,0.49741107385878947,0.2954453833433659,0.25,0.24812030075187969,0.2578125,0.010491252307974985,0.10546875
early_layer1_linear,after_one_recent_attention_layer,delta_ce_gt_0.1,3584,0.49741107385878947,0.2954453833433659,0.400390625,0.40601503759398494,0.2634146341463415,0.013461895040041139,0.080078125
early_layer1_linear,after_one_recent_attention_layer,delta_ce_gt_0.1,3584,0.49741107385878947,0.2954453833433659,0.5,0.5112781954887218,0.265625,0.01258385178791066,0.072265625
early_layer1_linear,after_one_recent_attention_layer,top1_changed,3584,0.4488937466878644,0.13511329570411473,0.25,0.27941176470588236,0.1484375,0.006511639554575233,0.095703125
early_layer1_linear,after_one_recent_attention_layer,top1_changed,3584,0.4488937466878644,0.13511329570411473,0.400390625,0.36764705882352944,0.12195121951219512,0.007330907051354529,0.083984375
early_layer1_linear,after_one_recent_attention_layer,top1_changed,3584,0.4488937466878644,0.13511329570411473,0.5,0.4117647058823529,0.109375,0.008772833918627931,0.078125
token_bigram_memory,pre_forward_o1_hash_state,delta_ce_gt_0.1,10,0.5044239887317238,0.2628319722400445,0.25,0.24812030075187969,0.2578125,0.01014581487065458,0.091796875
token_bigram_memory,pre_forward_o1_hash_state,delta_ce_gt_0.1,10,0.5044239887317238,0.2628319722400445,0.400390625,0.46616541353383456,0.3024390243902439,0.005962684846467781,0.07421875
token_bigram_memory,pre_forward_o1_hash_state,delta_ce_gt_0.1,10,0.5044239887317238,0.2628319722400445,0.5,0.5338345864661654,0.27734375,0.004509309810510231,0.0625
token_bigram_memory,pre_forward_o1_hash_state,top1_changed,10,0.5258015368309485,0.16314549222057495,0.25,0.25,0.1328125,0.0030756790081296614,0.099609375
token_bigram_memory,pre_forward_o1_hash_state,top1_changed,10,0.5258015368309485,0.16314549222057495,0.400390625,0.4264705882352941,0.14146341463414633,0.0016223295968940121,0.076171875
token_bigram_memory,pre_forward_o1_hash_state,top1_changed,10,0.5258015368309485,0.16314549222057495,0.5,0.5147058823529411,0.13671875,0.0009385397583718813,0.064453125
page_retrieval,pre_forward_page_landmark_scan,delta_ce_gt_0.1,7,0.4716408435336362,0.24491313427641453,0.25,0.22556390977443608,0.234375,0.02546231075457772,0.103515625
page_retrieval,pre_forward_page_landmark_scan,delta_ce_gt_0.1,7,0.4716408435336362,0.24491313427641453,0.400390625,0.38345864661654133,0.24878048780487805,0.018770297241588185,0.0859375
page_retrieval,pre_forward_page_landmark_scan,delta_ce_gt_0.1,7,0.4716408435336362,0.24491313427641453,0.5,0.45864661654135336,0.23828125,0.016137358388256917,0.07421875
page_retrieval,pre_forward_page_landmark_scan,top1_changed,7,0.5387851086380497,0.14517159928484313,0.25,0.25,0.1328125,0.02406453820183474,0.099609375
page_retrieval,pre_forward_page_landmark_scan,top1_changed,7,0.5387851086380497,0.14517159928484313,0.400390625,0.45588235294117646,0.15121951219512195,0.008192887208354094,0.072265625
page_retrieval,pre_forward_page_landmark_scan,top1_changed,7,0.5387851086380497,0.14517159928484313,0.5,0.5588235294117647,0.1484375,0.006730035680293511,0.05859375
stateful_retrieval_surprise,pre_forward_stateful_page_and_hash,delta_ce_gt_0.1,51,0.514234134148035,0.2872110347579341,0.25,0.2781954887218045,0.2890625,0.011088304791642134,0.091796875
stateful_retrieval_surprise,pre_forward_stateful_page_and_hash,delta_ce_gt_0.1,51,0.514234134148035,0.2872110347579341,0.400390625,0.42105263157894735,0.2731707317073171,0.00771234764981088,0.078125
stateful_retrieval_surprise,pre_forward_stateful_page_and_hash,delta_ce_gt_0.1,51,0.514234134148035,0.2872110347579341,0.5,0.5488721804511278,0.28515625,0.004860395540215556,0.068359375
stateful_retrieval_surprise,pre_forward_stateful_page_and_hash,top1_changed,51,0.5097045574986752,0.17660368866800902,0.25,0.2647058823529412,0.140625,0.005143174814696394,0.09765625
stateful_retrieval_surprise,pre_forward_stateful_page_and_hash,top1_changed,51,0.5097045574986752,0.17660368866800902,0.400390625,0.39705882352941174,0.13170731707317074,0.002755589562208449,0.080078125
stateful_retrieval_surprise,pre_forward_stateful_page_and_hash,top1_changed,51,0.5097045574986752,0.17660368866800902,0.5,0.5,0.1328125,0.0036965347962789608,0.06640625
retrieval_plus_memory,pre_forward_page_and_hash,delta_ce_gt_0.1,17,0.5011010375543079,0.2571032833527799,0.25,0.24812030075187969,0.2578125,0.014184684736112452,0.095703125
retrieval_plus_memory,pre_forward_page_and_hash,delta_ce_gt_0.1,17,0.5011010375543079,0.2571032833527799,0.400390625,0.42857142857142855,0.2780487804878049,0.008965420969632376,0.06640625
retrieval_plus_memory,pre_forward_page_and_hash,delta_ce_gt_0.1,17,0.5011010375543079,0.2571032833527799,0.5,0.556390977443609,0.2890625,0.006151638025608364,0.060546875
retrieval_plus_memory,pre_forward_page_and_hash,top1_changed,17,0.513877848436672,0.1701222596636038,0.25,0.3235294117647059,0.171875,0.007575484172081648,0.08984375
retrieval_plus_memory,pre_forward_page_and_hash,top1_changed,17,0.513877848436672,0.1701222596636038,0.400390625,0.4264705882352941,0.14146341463414633,1.0887402839276916e-05,0.076171875
retrieval_plus_memory,pre_forward_page_and_hash,top1_changed,17,0.513877848436672,0.1701222596636038,0.5,0.5147058823529411,0.13671875,0.006843830092001735,0.064453125
speculative_confidence,post_sink_recent_requires_replay,delta_ce_gt_0.1,3,0.6578649790703671,0.3357004145717065,0.25,0.3233082706766917,0.3359375,0.013074363913305298,0.052734375
