label_scheme,label,cache_budget,sink_size,metric,contrast,mean_difference,documents,ci_low,ci_high
coarse_category,content,128,0,delta_ce,category_minus_document_mean,0.26784431326728536,16,0.1686561996378735,0.38137571398793685
coarse_category,function,128,0,delta_ce,category_minus_document_mean,-0.21492409720946265,16,-0.30652040985010276,-0.1214285650401445
coarse_category,other,128,0,delta_ce,category_minus_document_mean,-0.22897996007385976,16,-0.4248678856403742,-0.038812908612433486
coarse_category,special,128,0,delta_ce,category_minus_document_mean,-0.1242326351340437,16,-0.21893044069543338,-0.014439583761012358
coarse_category,content,128,4,delta_ce,category_minus_document_mean,0.26740855697770655,16,0.17595165668812618,0.3729443039900725
coarse_category,function,128,4,delta_ce,category_minus_document_mean,-0.20631387053905906,16,-0.2952813851609898,-0.10844480426678217
coarse_category,other,128,4,delta_ce,category_minus_document_mean,-0.2338370887661566,16,-0.4285677301061074,-0.022878507616323564
coarse_category,special,128,4,delta_ce,category_minus_document_mean,-0.13391486081176618,16,-0.22883801079934588,-0.024886460548144647
coarse_category,content,128,16,delta_ce,category_minus_document_mean,0.2759425095959243,16,0.18244575383438294,0.38055995540038723
coarse_category,function,128,16,delta_ce,category_minus_document_mean,-0.22556044914099296,16,-0.31944924863339264,-0.12693896479953656
coarse_category,other,128,16,delta_ce,category_minus_document_mean,-0.20751454720603435,16,-0.4291532024597093,0.029585550547200707
coarse_category,special,128,16,delta_ce,category_minus_document_mean,-0.12972772594284485,16,-0.23002722565178202,-0.02058986724345923
coarse_category,content,512,0,delta_ce,category_minus_document_mean,0.13846602742371722,16,0.07003136003764436,0.220849015838736
coarse_category,function,512,0,delta_ce,category_minus_document_mean,-0.10247304823891668,16,-0.21717005497496494,-0.015682967297161853
coarse_category,other,512,0,delta_ce,category_minus_document_mean,-0.14265686945938177,16,-0.20441026208744678,-0.07218955921281862
coarse_category,special,512,0,delta_ce,category_minus_document_mean,-0.10731597963233336,16,-0.17317731393227134,-0.043019276466924064
coarse_category,content,512,4,delta_ce,category_minus_document_mean,0.13893906299101141,16,0.07521567919047535,0.21620477228382184
coarse_category,function,512,4,delta_ce,category_minus_document_mean,-0.1029563199871009,16,-0.20597878699654507,-0.01876526169044189
coarse_category,other,512,4,delta_ce,category_minus_document_mean,-0.1407184904846873,16,-0.19884042897805937,-0.07304992023622749
coarse_category,special,512,4,delta_ce,category_minus_document_mean,-0.10361551630249989,16,-0.16295031730042592,-0.04433227019138805
coarse_category,content,512,16,delta_ce,category_minus_document_mean,0.13339074174246363,16,0.06735979545356782,0.2098580357590333
coarse_category,function,512,16,delta_ce,category_minus_document_mean,-0.10410127505979791,16,-0.2101085656112578,-0.022330330313400978
coarse_category,other,512,16,delta_ce,category_minus_document_mean,-0.14759288605374665,16,-0.20754170522556567,-0.0775835787098697
coarse_category,special,512,16,delta_ce,category_minus_document_mean,-0.08936382461770796,16,-0.14601713161175642,-0.03513720348512009
coarse_category,content,2048,0,delta_ce,category_minus_document_mean,0.05093511815183691,16,0.017439989857911755,0.08881891665305468
coarse_category,function,2048,0,delta_ce,category_minus_document_mean,-0.06279419707689302,16,-0.13670457899739885,-0.0057833562425902525
coarse_category,other,2048,0,delta_ce,category_minus_document_mean,-0.035557385682666726,16,-0.08400816240294622,0.01703537596829712
coarse_category,special,2048,0,delta_ce,category_minus_document_mean,-0.031917472613054415,16,-0.07027339916647074,0.002921336519768874
coarse_category,content,2048,4,delta_ce,category_minus_document_mean,0.05318888849660105,16,0.016794859982401628,0.09233985703502771
coarse_category,function,2048,4,delta_ce,category_minus_document_mean,-0.06450641680804588,16,-0.1339475904036286,-0.008570760383139007
coarse_category,other,2048,4,delta_ce,category_minus_document_mean,-0.03760495636065872,16,-0.09083391518947774,0.016415208538261842
coarse_category,special,2048,4,delta_ce,category_minus_document_mean,-0.03234605477678833,16,-0.06919790436025847,0.0034024832980240616
coarse_category,content,2048,16,delta_ce,category_minus_document_mean,0.05100419743585708,16,0.01672734314796767,0.08849157004757241
coarse_category,function,2048,16,delta_ce,category_minus_document_mean,-0.06599643871662653,16,-0.14540654491408836,-0.007991450584016816
coarse_category,other,2048,16,delta_ce,category_minus_document_mean,-0.030305869446776837,16,-0.07576551855104917,0.015621592046510428
