layer,block_index,content_minus_function,ci_low,ci_high,documents,ci_excludes_zero,permutation_p_value,fdr_q_value,fdr_significant_0.05,key_start,key_end
0,0,2.552505240227776e-05,1.615227939998287e-06,5.20015090560312e-05,8,True,0.09375,0.33707865168539325,False,0,128
0,1,2.9461363406473528e-05,-1.7930906606560766e-05,7.797790436397024e-05,8,False,0.2890625,0.5530642750373692,False,128,256
0,2,3.1342246969224814e-05,-2.4663069737488127e-05,7.908129209358577e-05,8,False,0.3046875,0.5652173913043478,False,256,384
0,3,4.577227940292477e-05,-3.4805910504726177e-05,0.00011988213574267559,8,False,0.3046875,0.5652173913043478,False,384,512
0,4,6.777007671397488e-05,-1.967246323645358e-06,0.00014729179179445183,8,False,0.140625,0.391304347826087,False,512,640
0,5,6.011703625470705e-05,-1.9159191668741233e-05,0.00014824215135577392,8,False,0.28125,0.5504587155963303,False,640,768
0,6,4.216417120354144e-05,-5.287412487792288e-05,0.0001375732014060035,8,False,0.4453125,0.692588092345079,False,768,896
0,7,7.977712901303713e-06,-5.4425578083057506e-05,6.756847805833023e-05,8,False,0.8203125,0.9186351706036745,False,896,1024
0,8,-3.888293139499155e-05,-0.00017757307945673212,8.81419233443197e-05,8,False,0.6171875,0.797979797979798,False,1024,1152
0,9,4.699530963557958e-05,-2.47418559704396e-05,0.00011013624841039248,8,False,0.28125,0.5504587155963303,False,1152,1280
0,10,6.579662027213577e-05,-5.449446799454742e-06,0.00015880995680095193,8,False,0.21875,0.4827586206896552,False,1280,1408
0,11,3.968293095254715e-05,-1.0515152469840374e-05,8.933412968533438e-05,8,False,0.1953125,0.45454545454545453,False,1408,1536
0,12,1.2733531539538474e-05,-1.670818618355266e-05,4.5255382833011656e-05,8,False,0.5078125,0.7352941176470589,False,1536,1664
0,13,5.623423999768593e-05,4.9505600718432986e-06,0.00010542305446125252,8,True,0.1015625,0.34759358288770054,False,1664,1792
0,14,1.9957524915532006e-05,-4.7675914348688404e-05,8.638682892029019e-05,8,False,0.609375,0.7934893184130214,False,1792,1920
0,15,4.1120322788643795e-05,-1.7212950108932306e-05,9.304849677179238e-05,8,False,0.21875,0.4827586206896552,False,1920,2048
0,16,3.764574125193232e-05,5.581908297230992e-06,6.983462742916209e-05,8,True,0.09375,0.33707865168539325,False,2048,2176
0,17,3.2410165184337884e-06,-2.346736255801281e-05,3.069959013297947e-05,8,False,0.890625,0.9484193011647255,False,2176,2304
0,18,1.8229883708050412e-05,-6.9106756553990695e-06,4.6039284255209456e-05,8,False,0.28125,0.5504587155963303,False,2304,2432
0,19,3.6828530695658175e-05,-1.1383941506047478e-06,7.714638732440564e-05,8,False,0.140625,0.391304347826087,False,2432,2560
0,20,2.925268453378557e-05,-1.625436242758432e-05,7.437831806290351e-05,8,False,0.2890625,0.5530642750373692,False,2560,2688
0,21,5.1393444952322885e-05,2.3896379736202555e-05,7.859046133465367e-05,8,True,0.0234375,0.2054794520547945,False,2688,2816
0,22,4.59102578124599e-05,-2.337172748183997e-06,9.403070487828033e-05,8,False,0.140625,0.391304347826087,False,2816,2944
0,23,2.7590796290235395e-05,1.008111279001619e-05,4.765069610090284e-05,8,True,0.015625,0.16806722689075632,False,2944,3072
0,24,4.4732090575859534e-05,2.4371663372505027e-05,6.874075815802517e-05,8,True,0.0078125,0.14925373134328357,False,3072,3200
0,25,4.723439169429881e-05,1.119771250017123e-05,7.916139122110831e-05,8,True,0.0546875,0.2777777777777778,False,3200,3328
0,26,3.283767397443613e-05,9.484722129842513e-06,5.903563526255261e-05,8,True,0.0390625,0.25,False,3328,3456
0,27,5.296885137711761e-05,3.7490401011975134e-05,7.098077311294506e-05,8,True,0.0078125,0.14925373134328357,False,3456,3584
0,28,4.398794075510023e-05,2.7711791363364737e-05,6.069166565868259e-05,8,True,0.0078125,0.14925373134328357,False,3584,3712
0,29,3.4496363545240356e-05,1.7983123368514745e-05,5.142485919008742e-05,8,True,0.0078125,0.14925373134328357,False,3712,3840
0,30,3.140788949278885e-05,1.1575526089848184e-05,5.187561331393813e-05,8,True,0.03125,0.22727272727272727,False,3840,3968
