context_length,layer,prefix_size,attention_mass_mean,attention_mass_median,attention_mass_max,concentration_mean,heads_above_10x_uniform,contribution_norm_ratio_mean,documents,queries
16384,0,1,5.054632147727389e-06,7.304976282901388e-08,8.925388114988664e-05,0.08265475714142667,0.0009765625436557457,1.9891170262020808e-05,8,512
16384,0,4,1.648400059206523e-05,4.4566605193752107e-07,0.00021032109691532241,0.0673798079842527,0.00013950893480796367,4.6402238949028174e-05,8,512
16384,0,16,8.451656744767888e-05,2.8740376062930117e-06,0.0008662260533753852,0.08636638685129583,0.0,0.00014349015076930982,8,512
16384,0,64,0.0002748040041922195,1.190402841638738e-05,0.002452881692875053,0.0702126438736741,0.0,0.00037267912031779815,8,512
16384,0,128,0.0005444305510593495,2.1529017001087336e-05,0.0045907512737812795,0.0695489448880835,0.0,0.0006598063422416089,8,512
16384,1,1,0.00011535139875107348,1.9279298415775248e-06,0.0020941099032256716,1.8862436355557293,0.05350167657161364,0.00038276875370968355,8,512
16384,1,4,0.00031093627995915085,1.1429666407103412e-05,0.00476010288798534,1.2710823130910285,0.026506697628065012,0.0008297863177517684,8,512
16384,1,16,0.0009022335134432069,5.2994109588588856e-05,0.00958285210390386,0.9220101278624497,0.012276786263100803,0.0016532491561065399,8,512
16384,1,64,0.002669149676194138,0.00019570908771715523,0.02361944135009253,0.6819932362413965,0.0019531250873114914,0.003945967722529531,8,512
16384,1,128,0.004335901232479955,0.0003521987657961745,0.03864890336262761,0.5539213105803356,0.0005580357392318547,0.005723781616325141,8,512
16384,2,1,0.0010244397128076344,0.0002812612843001716,0.008997213552447647,16.75244947709143,0.32777624305163044,0.003477424543120833,8,512
16384,2,4,0.0016852216299980682,0.000603278210235203,0.01314942024055199,6.889563855947927,0.16210938226868166,0.005165429040516756,8,512
16384,2,16,0.005332914851578607,0.0016818060316836636,0.04326434337963292,5.450598901603371,0.14362444884318393,0.010059163745154365,8,512
16384,2,64,0.008742364435420313,0.003551612182604913,0.0595234922675445,2.233807402662933,0.043805805791635066,0.01438362821136252,8,512
16384,2,128,0.011589370490128204,0.0057088350687308775,0.06712864516157424,1.4806154210236855,0.013392857785220258,0.01711498674330869,8,512
16384,4,1,0.5236809724010527,0.5433931065199431,0.8976917818654329,8562.875276565552,0.999651227844879,0.5579538992606103,8,512
16384,4,4,0.589030748931691,0.6144879945204593,0.9807088014204055,2407.865702867508,0.9990234379656613,0.626116783823818,8,512
16384,4,16,0.5899804114014842,0.6159759461006615,0.980888836318627,602.9369518756866,0.993164065759629,0.6254563113616314,8,512
16384,4,64,0.5920263122534379,0.6182596606959123,0.9814281876897439,151.25704218447208,0.9735630701761693,0.6232613791071344,8,512
16384,4,128,0.5932685434236191,0.6195272265176754,0.9819370547775179,75.78723656386137,0.9481027005240321,0.6214788530487567,8,512
16384,8,1,0.4033830259286333,0.3780326685955515,0.8073009233921766,6595.978322029114,0.9995117189828306,0.4003362958173966,8,512
16384,8,4,0.4463467029854655,0.4202483674744144,0.8845491709653288,1824.6432242393494,0.9987444202415645,0.44419759331503883,8,512
16384,8,16,0.4468549389275722,0.42072374434792437,0.8846936974441633,456.68026757240295,0.9932338201906532,0.44376264480524696,8,512
16384,8,64,0.44840281369397417,0.42215756032965146,0.8850097670219839,114.56555742025375,0.968889523181133,0.44301125782658346,8,512
16384,8,128,0.44975417241221294,0.4233075322699733,0.8852749518118799,57.455424182116985,0.9281529310392216,0.4424599525227677,8,512
16384,12,1,0.24649006128311157,0.20521572149300482,0.6447540651424788,4030.441716194153,0.9986049113795161,0.24661614259093767,8,512
16384,12,4,0.27757694049796555,0.2336774477371364,0.7123008854105137,1134.704426765442,0.9964425240177661,0.2786905877146637,8,512
16384,12,16,0.27767220919486135,0.233785916447232,0.7123228998389095,283.7734748721123,0.9805385124636814,0.27864256090833806,8,512
16384,12,64,0.2782686169084627,0.23457440205675084,0.712477920926176,71.09575244784355,0.9044364142464474,0.2783676488616038,8,512
16384,12,128,0.27892750086903106,0.23545301971171284,0.7125795211759396,35.6320424862206,0.8157087449799292,0.2780964127596235,8,512
16384,16,1,0.17172262727399357,0.1297753812468727,0.498040487524122,2807.967983484268,0.9966517873108387,0.14961411246622447,8,512
16384,16,4,0.20117829271475784,0.1566704783399473,0.5592742753215134,822.4179759919643,0.9822126197395846,0.17678170928411419,8,512
16384,16,16,0.20122021568386117,0.15673178917131736,0.5592941814102232,205.64734102785587,0.93373328296002,0.17677254474256188,8,512
16384,16,64,0.2015309721828089,0.1572912394804007,0.5594199962506536,51.491235146299005,0.7991769312066026,0.1767706374739646,8,512
16384,16,128,0.20194599170645233,0.15792258905275958,0.5595796853885986,25.798635125160217,0.6594587343279272,0.17683330870204372,8,512
16384,20,1,0.2175635429302929,0.1801559883315349,0.6001231790869497,3557.6465244293213,0.9983956480864435,0.17085533243516693,8,512
16384,20,4,0.25376479609985836,0.21578398584824754,0.6680976078787353,1037.4140549898148,0.992815293604508,0.2039237810531631,8,512
16384,20,16,0.2538153580680955,0.21585090094595216,0.6681422943656798,259.4051968604326,0.9693778032669798,0.20390699493145803,8,512
16384,20,64,0.25422701027127914,0.21635592776874546,0.6684753969020676,64.95648880302906,0.8744419936556369,0.20384853237919742,8,512
16384,20,128,0.2546929946547607,0.21690269210375845,0.668715865642298,32.537775775417686,0.7524414366926067,0.20379754406167194,8,512
16384,24,1,0.4115147453849204,0.3829845449363347,0.8610576954088174,6729.013886928558,0.9983258936554193,0.3583874861651566,8,512
16384,24,4,0.4654917484440375,0.44282525923335925,0.9423296626191586,1902.9136950969696,0.9957449797075242,0.4073819965997245,8,512
16384,24,16,0.46566305818851106,0.44298785024147946,0.9424073215341195,475.90351298451424,0.9815848300931975,0.40741589647950605,8,512
16384,24,64,0.46663150141830556,0.44407165731536224,0.9426994766108692,119.22334466129541,0.9242466803407297,0.40766993767465465,8,512
16384,24,128,0.4676030717382673,0.444971803604858,0.9429366299882531,59.73580079898238,0.8646763757569715,0.4079164524155203,8,512
16384,27,1,0.13264766418433283,0.14436760861099174,0.3088399070693413,2169.1214528679848,0.7498605505097657,0.08438526216468745,8,512
16384,27,4,0.15824515658641758,0.17134707127297588,0.364146734624228,646.9418337345123,0.7495117780053988,0.10174081236982602,8,512
16384,27,16,0.15849909193821077,0.17164317156129982,0.3644286235066829,161.99501590803266,0.7429548552026972,0.10203042421198916,8,512
16384,27,64,0.15984938287874684,0.17340470546150755,0.3665562140085967,40.84379484690726,0.6715262708457885,0.10351554866610968,8,512
16384,27,128,0.16122063491275185,0.17506044404944987,0.36897591325396206,20.597085274290293,0.555524586357933,0.10466088428256626,8,512
24576,0,1,2.0419584092268295e-05,2.740467259596674e-07,0.0004019888362662982,0.5011449332669144,0.005580357399594504,5.6360131061694574e-05,8,512
